t,output_gap_obs,inflation_obs,interest_rate_obs,output_gap_true,inflation_true,interest_rate_true
397,-0.311093,-0.329199,-0.591229,-0.25781,-0.196079,-0.525004
398,-0.247597,-0.337064,-0.611337,-0.131278,-0.163088,-0.490297
399,-0.234975,0.070787,-0.272171,0.075229,0.137073,-0.370055
400,0.065657,0.18205,-0.241314,-0.024947,0.209544,-0.249175
401,-0.244701,-0.08689,-0.29068,-0.154706,0.009741,-0.2044
402,-0.364623,-0.016723,-0.198785,-0.149475,-0.105029,-0.27964
403,-0.316676,-0.269104,-0.307924,-0.205762,-0.202194,-0.25188
404,0.058827,0.087977,-0.42722,-0.155434,-0.059051,-0.28657
405,-0.037899,-0.106251,-0.36563,-0.158487,-0.148427,-0.467752
406,-0.306444,-0.444041,-0.766192,-0.280439,-0.339407,-0.712482
407,-0.24811,-0.278678,-0.761877,-0.371931,-0.148787,-0.720987
408,-0.437864,-0.342124,-0.62218,-0.205681,-0.095,-0.626298
409,-0.268729,-0.034056,-0.444217,-0.275203,-0.077666,-0.558476
410,-0.275883,-0.127671,-0.514779,-0.305347,-0.074483,-0.516783
411,-0.423735,-0.604278,-0.782722,-0.329768,-0.248449,-0.66281
412,-0.201049,-0.258323,-0.662098,-0.288141,-0.177966,-0.716486
413,-0.412755,-0.244085,-0.696576,-0.256668,-0.108929,-0.648077
414,0.026151,0.286841,-0.369652,-0.075813,0.050489,-0.558444
415,0.210499,-0.253232,-0.373506,0.100127,0.002185,-0.373394
416,-0.486519,-0.227251,-0.598745,0.096913,-0.011049,-0.375242
417,0.308126,0.026052,-0.2723,0.070065,-0.140443,-0.308037
418,-0.394789,0.118023,-0.036669,0.214738,-0.085491,-0.231129
419,-0.002485,-0.181124,0.00087,0.120725,-0.069377,-0.156722
420,0.309868,0.075903,0.139924,0.104799,0.170716,-0.043171
421,0.130795,0.24581,0.018814,0.194252,0.153375,0.12079
422,-0.163126,-0.2383,0.263477,0.130111,0.110765,0.172262
423,-0.185253,-0.14754,0.170641,0.033494,0.131639,0.24284
424,0.294882,0.204256,0.430252,0.089501,0.246366,0.407823
425,-0.341245,0.405889,0.263097,0.043056,0.173405,0.390392
426,0.266884,-0.026306,0.356615,0.041086,0.039053,0.421061
427,0.062327,0.034868,0.353438,0.073347,0.019728,0.421063
428,-0.389528,-0.066793,0.317858,-0.151049,-0.236861,0.228002
429,-0.24652,0.183678,0.103997,-0.129897,-0.132355,0.023925
430,-0.322676,0.011877,0.113388,-0.119231,0.098404,0.085706
431,0.082908,-0.02433,-0.115176,-0.090337,-0.021805,0.019866
432,-0.147738,0.199903,-0.068544,-0.294223,-0.073405,-0.03738
433,-0.766195,-0.457883,-0.361638,-0.422363,-0.229553,-0.287027
434,-0.55738,-0.09829,-0.46842,-0.476662,-0.252427,-0.555387
435,-0.540206,-0.313846,-0.493109,-0.367569,-0.161099,-0.610928
436,-0.320181,-0.338485,-0.614163,-0.578883,-0.353856,-0.719802
437,-1.068814,-0.487711,-1.095781,-0.798794,-0.451318,-1.020259
438,-0.317611,-0.62841,-1.440008,-0.638457,-0.484708,-1.166055
439,-0.524724,-0.361616,-1.330376,-0.518066,-0.214151,-1.15368
440,-0.661041,-0.342715,-0.99908,-0.428655,-0.384177,-1.141243
441,-0.597295,-0.237385,-1.239958,-0.46184,-0.386716,-1.199833
442,-0.732268,-0.361525,-1.271986,-0.571944,-0.342064,-1.196914
443,-0.74038,-0.465042,-1.134326,-0.485457,-0.475559,-1.298592
444,-0.343743,-0.448715,-1.305833,-0.362708,-0.534391,-1.432349
445,-0.484366,-0.457564,-1.326503,-0.238783,-0.311821,-1.328948
446,-0.465028,-0.006788,-1.124266,-0.028955,-0.117742,-1.094926
447,0.16908,0.116155,-0.883415,0.245015,-0.006747,-0.870205
448,-0.097278,0.510058,-0.587368,0.263293,0.119514,-0.610084
449,-0.016708,0.274443,-0.119546,0.133724,0.330858,-0.279551
450,-0.134697,0.202447,-0.041847,0.047123,0.271159,-0.084094
451,-0.157121,0.312289,0.04263,0.017123,0.196944,-0.029973
452,0.450866,0.427835,0.278877,0.050673,0.304969,0.16195
453,0.019267,0.023906,0.045757,0.007985,0.104169,0.162725
454,0.030864,-0.051633,0.25226,-0.01821,0.008841,0.176774
455,-0.54499,0.114877,0.07189,-0.18971,0.033708,0.101346
456,-0.263837,-0.259896,-0.198589,-0.133044,-0.135758,0.053021
457,0.047884,-0.032053,-0.23041,0.004824,0.029527,-0.017593
458,-0.117652,0.094864,-0.137986,0.087253,0.081425,-0.036175
459,0.257711,0.249386,0.117204,0.076098,0.099995,0.064081
460,-0.154325,0.014295,0.206061,0.086215,0.104985,0.194681
461,0.142923,-0.450512,0.111272,0.200197,-0.174154,0.092835
462,0.046501,-0.500663,0.200228,0.163712,-0.213173,0.005133
463,0.305081,-0.32249,-0.118328,0.272216,-0.133578,0.008581
464,0.025314,-0.284932,0.064695,0.153412,-0.087957,0.067438
465,0.029637,0.004196,0.02129,0.083815,0.027388,-0.009153
466,0.21444,-0.025873,0.038487,0.261666,0.152459,0.112115
467,0.146176,-0.08225,0.221844,0.293054,0.023164,0.219011
468,0.328369,-0.055533,0.067191,0.23135,0.06058,0.227186
469,0.197827,0.078726,0.437965,0.15015,0.144802,0.296975
470,0.182587,0.32999,0.300947,0.20031,0.131614,0.369109
471,0.052302,0.429591,0.612859,0.138394,0.330298,0.409719
472,0.409957,0.379554,0.520616,0.250648,0.377134,0.523864
473,0.401344,0.353515,0.87149,0.448511,0.422669,0.768685
474,0.345122,0.246566,0.836215,0.406462,0.311551,0.841545
475,0.425807,0.466517,0.968878,0.404869,0.417355,0.971953
476,0.612555,0.460717,1.00641,0.273237,0.373091,1.064813
477,0.043308,0.218367,1.089747,0.31138,0.354509,1.077835
478,0.341314,0.15211,0.923082,0.187343,0.146638,0.891282
479,-0.186331,-0.182078,0.712394,0.192303,0.122665,0.79082
480,-0.079034,-0.068389,0.601623,-0.122489,-0.100146,0.614127
481,0.138314,0.047298,0.291905,-0.176703,-0.067025,0.352915
482,0.082572,-0.094474,0.497536,-0.015162,-0.052464,0.26757
483,0.253057,0.463571,0.329087,0.218932,0.191092,0.33806
484,0.025627,-0.027879,0.530163,0.137717,0.104307,0.37564
485,0.119632,0.079272,0.400321,0.113423,0.046656,0.419883
486,0.040247,0.275111,0.524747,0.09066,0.280485,0.498818
487,0.10293,0.238967,0.494097,0.260126,0.254012,0.626234
488,0.103677,0.072977,0.556658,0.161652,0.090126,0.601365
489,0.284018,0.138457,0.54789,0.244342,0.122391,0.526837
490,-0.069561,0.07084,0.480288,0.083882,-0.056353,0.321688
491,-0.074814,0.316921,0.351296,0.086442,0.11026,0.329098
492,-0.420292,-0.008756,0.359652,-0.148243,-0.008419,0.22128
493,0.154326,-0.004772,0.173265,0.076181,-0.127069,0.109192
494,0.348213,-0.052057,0.352693,0.239148,0.053208,0.189953
495,0.273024,0.242499,0.29408,0.226692,0.127606,0.299984
496,0.316108,0.074232,0.529239,0.123074,0.188531,0.290217
497,0.161177,0.31882,0.25915,0.143603,0.155221,0.30769
498,0.205377,0.385045,0.16804,0.126974,0.053449,0.244686
499,0.139683,-0.078313,0.076667,0.078916,-0.06,0.197672
